----isotherm parameters----
start time: ,2022-11-21 12:55:10.710030+00:00
end time: ,2022-11-21 13:01:33.780375+00:00
number of smooting values: ,2
total sample steps: ,2000
stepper delay: ,0.001
area_change_expected: ,1.4e+18
molecules deposited: ,1.23e+16
----isotherm data----
barrier_pos,area_per_mol,press_val,surface_pressure,surface_tension,sdt
40,126.0569105691057,-1.2559098188168303,-1.251496368794585,74.00149636879459,19317.53840708035
41,126.0,-1.2480120661454444,-1.2459214845559596,73.99592148455596,19317.538409303103
42,125.9430894308943,-1.2131690396540349,-1.2008578369604035,73.95085783696041,19317.5384115083
43,125.88617886178862,-1.2122398922809305,-1.2236219476014576,73.97362194760146,19317.538413723483
44,125.82926829268293,-1.2963277295468654,-1.3118909480463614,74.06189094804637,19317.538415958068
45,125.77235772357723,-1.403179677453854,-1.446617317146478,74.19661731714648,19317.538418182467
46,125.71544715447155,-1.5146773622263647,-1.5260594175468918,74.27605941754689,19317.53842038985
47,125.65853658536585,-1.5330280228451736,-1.530705154412413,74.28070515441242,19317.538422611007
48,125.60162601626017,-1.5376737597106949,-1.5376737597106949,74.2876737597107,19317.538424818693
49,125.54471544715447,-1.5474298071282895,-1.5474298071282895,74.2974298071283,19317.53842704278
50,125.48780487804878,-1.5025984463760094,-1.4949329805478992,74.2449329805479,19317.538429245753
51,125.4308943089431,-1.490054956839102,-1.4851769331303046,74.2351769331303,19317.538431471596
52,125.3739837398374,-1.4150263064609334,-1.3992308011181611,74.14923080111816,19317.538433678543
53,125.3170731707317,-1.331867616568103,-1.317465832284987,74.06746583228498,19317.53843590307
54,125.26016260162602,-1.2382560187278493,-1.2231573739149053,73.9731573739149,19317.538438107058
55,125.20325203252033,-1.1622982209765769,-1.147431863006909,73.89743186300691,19317.538440346667
56,125.14634146341463,-1.1167699996944687,-1.1139825575751559,73.86398255757516,19317.538442558867
57,125.08943089430895,-1.060324296778385,-1.0591628625620049,73.809162862562,19317.53844477888
58,125.03252032520325,-1.0591628625620046,-1.0568399941292441,73.80683999412925,19317.538446979295
59,124.97560975609755,-1.0122409202202403,-1.0099180517874795,73.75991805178748,19317.538449207015
60,124.91869918699187,-1.0055046017652343,-1.001091151742989,73.75109115174298,19317.538451420056
61,124.86178861788618,-0.982508204280904,-0.982508204280904,73.7325082042809,19317.53845364073
62,124.8048780487805,-1.0240875492273194,-1.0368633256075028,73.7868633256075,19317.538455840102
63,124.7479674796748,-1.092379881150482,-1.121880310246542,73.87188031024654,19317.53845806579
