area_per_mol,surface_pressure,sdt,barrier_pos,cell2_value,force_value,surface_tension,current_area_ang,mave1,mave2,"tare_offset1, tare_offset2"
100,22.65713325825203,19324.4662737653,0,0.004583313246018462,-0.6570650210572819,50.09286674174797,1.5785e+18,50.16977691555667,0.0032104345024671563,4800545.27,5594690.19
100,22.63018798443201,19324.466285952327,0,0.004286911554574608,-0.6562835984162028,50.11981201556799,1.5785e+18,50.16250633736213,0.0034078110833604507,4800545.27,5594690.19
100,22.611140463283373,19324.466295950715,0,0.003747999388313055,-0.6557312134457847,50.13885953671662,1.5785e+18,50.157605084969006,0.003551296447627589,4800545.27,5594690.19
100,22.597203252686807,19324.466308121726,0,0.0029800495513903425,-0.6553270293210884,50.15279674731319,1.5785e+18,50.1527270612602,0.003671878044828611,4800545.27,5594690.19
100,22.597203252686807,19324.466323656157,0,0.0025085014059114835,-0.6553270293210884,50.15279674731319,1.5785e+18,50.148708498871535,0.0037601249120539403,4800545.27,5594690.19
100,22.576762010478514,19324.46633475417,0,0.0033438152636168905,-0.6547342259382007,50.17323798952148,1.5785e+18,50.14587459938356,0.003830183493667942,4800545.27,5594690.19
100,22.563753947255055,19324.466343626147,0,0.003074359180486114,-0.6543569874218177,50.18624605274495,1.5785e+18,50.14250644015606,0.003924493122763714,4800545.27,5594690.19
100,22.5623602261954,19324.46635582183,0,0.002804903097355338,-0.6543165690093481,50.187639773804605,1.5785e+18,50.13955639724646,0.003965585175441157,4800545.27,5594690.19
100,22.59116379476163,19324.466365800206,0,0.0027914302931987987,-0.6551518828670535,50.15883620523837,1.5785e+18,50.13660635433685,0.003996572625001196,4800545.27,5594690.19
100,22.529375494450196,19324.466375774526,0,0.002198626910311091,-0.6533599999142338,50.22062450554981,1.5785e+18,50.137907160659196,0.003972995217727253,4800545.27,5594690.19
100,22.545635573479522,19324.466385758853,0,0.0028992127264511093,-0.6538315480597127,50.20436442652048,1.5785e+18,50.138371734345746,0.00398242618063683,4800545.27,5594690.19
100,22.54517099979297,19324.466395733427,0,0.0028183759015118766,-0.6538180752555561,50.20482900020703,1.5785e+18,50.14039262988224,0.003945375969206349,4800545.27,5594690.19
100,22.543777278733316,19324.466407937787,0,0.0024950286017549447,-0.6537776568430865,50.206222721266684,1.5785e+18,50.142297381997125,0.0039137148794384825,4800545.27,5594690.19
100,22.523800610211573,19324.466419021897,0,0.0024680829934418673,-0.6531983262643554,50.22619938978843,1.5785e+18,50.144829308588825,0.003861170943227981,4800545.27,5594690.19
100,22.54284813136021,19324.46643122102,0,0.0031147775929557305,-0.6537507112347735,50.20715186863979,1.5785e+18,50.1478258088671,0.00382614165242098,4800545.27,5594690.19
100,22.58094317365748,19324.466444531216,0,0.003815363409095749,-0.6548554811756095,50.16905682634252,1.5785e+18,50.15084553782968,0.003737894785195651,4800545.27,5594690.19
