----isotherm parameters----,
start time: ,2022-11-30 13:51:41.409098+00:00
end time: ,2022-11-30 13:54:52.980683+00:00
number of smooting values: ,1
total sample steps: ,2000
stepper delay: ,0.001
area_change_expected: ,1.40E+18
molecules deposited: ,1.23E+16
----isotherm data----,
area_per_molecule (Ang^2/molecule),surface pressure (mN/m)
103.2357724,-0.003632372
103.1788618,0.024879185
103.1219512,0.028870803
103.0650407,0.030011265
103.0081301,0.039134964
102.9512195,0.039134964
102.8943089,0.03742427
102.8373984,0.03742427
102.7804878,0.061373979
102.7235772,0.063084672
102.6666667,0.09672831
102.6097561,0.09672831
102.5528455,0.079051145
102.495935,0.079051145
102.4390244,0.07677022
102.3821138,0.089885536
102.3252033,0.129231486
102.2682927,0.136644491
102.2113821,0.136644491
102.1544715,0.130371948
102.097561,0.129231486
102.0406504,0.130371948
101.9837398,0.133223104
101.9268293,0.13151241
101.8699187,0.13151241
101.8130081,0.133223104
101.7560976,0.160594199
101.699187,0.167436973
101.6422764,0.167436973
101.5853659,0.164585817
101.5284553,0.160023968
101.4715447,0.160023968
101.4146341,0.158313275
101.3577236,0.153751425
101.300813,0.153751425
101.2439024,0.176560671
101.1869919,0.163445355
101.1300813,0.163445355
101.0731707,0.163445355
101.0162602,0.145197958
100.9593496,0.145197958
100.902439,0.140065878
100.8455285,0.154891888
100.7886179,0.160023968
100.7317073,0.160023968
100.6747967,0.142346802
100.6178862,0.130371948
100.5609756,0.130371948
100.504065,0.118967325
100.4471545,0.118967325
100.3902439,0.144057496
100.3333333,0.144057496
100.2764228,0.135504028
100.2195122,0.135504028
100.1626016,0.129801717
100.1056911,0.091025999
100.0487805,0.081332069
99.99186992,0.072208371
99.93495935,0.081332069
99.87804878,0.097868773
99.82113821,0.097868773
99.76422764,0.065365597
99.70731707,0.065365597
99.6504065,0.069927446
99.59349593,0.076199989
99.53658537,0.076199989
99.4796748,0.07163814
99.42276423,0.07163814
99.36585366,0.073348833
99.30894309,0.073348833
99.25203252,0.063654903
99.19512195,0.057382361
99.13821138,0.054531205
99.08130081,0.049969356
99.02439024,0.048828893
98.96747967,0.03742427
98.91056911,0.035143346
98.85365854,0.028870803
98.79674797,0.028870803
98.7398374,0.030581497
98.68292683,0.030581497
98.62601626,0.010623406
98.56910569,0.000359246
98.51219512,0.000359246
98.45528455,0.000359246
98.39837398,0.008912713
98.34146341,0.031151728
98.28455285,0.000929477
98.22764228,-0.004202604
98.17073171,-0.005913297
98.11382114,-0.004202604
98.05691057,-0.005913297
98,-0.011045377
97.94308943,-0.011045377
97.88617886,0.022028029
97.82926829,0.022028029
97.77235772,0.010053175
97.71544715,-0.033854623
97.65853659,-0.033854623
97.60162602,-0.035565317
97.54471545,-0.041267628
97.48780488,0.01746618
97.43089431,0.037994502
97.37398374,0.037994502
97.31707317,0.002069939
97.2601626,0.002069939
97.20325203,0.012904331
97.14634146,0.012904331
97.08943089,0.012904331
97.03252033,0.030011265
96.97560976,0.038564733
96.91869919,0.038564733
96.86178862,0.011193638
96.80487805,-0.017888151
96.74796748,-0.017888151
96.69105691,0.014044793
96.63414634,0.014044793
96.57723577,0.014615024
96.5203252,0.027730341
96.46341463,0.027730341
96.40650407,0.01746618
96.3495935,0.002069939
96.29268293,0.002069939
96.23577236,0.001499708
96.17886179,0.003210401
96.12195122,0.031721959
96.06504065,0.001499708
96.00813008,0.001499708
95.95121951,0.026019647
95.89430894,0.030011265
95.83739837,0.035713577
95.7804878,0.036854039
95.72357724,0.036854039
95.66666667,0.001499708
95.6097561,0.000359246
95.55284553,0.000359246
95.49593496,0.001499708
95.43902439,0.001499708
95.38211382,0.016325718
95.32520325,0.016895949
95.26829268,-0.008764453
95.21138211,-0.008764453
95.15447154,0.012904331
95.09756098,0.023738723
95.04065041,0.024879185
94.98373984,0.031721959
94.92682927,0.031721959
94.8699187,0.012904331
94.81300813,0.012904331
94.75609756,0.012904331
94.69918699,-0.010475146
94.64227642,-0.010475146
94.58536585,-0.009904915
94.52845528,-0.017888151
94.47154472,-0.017888151
94.41463415,-0.019598845
94.35772358,-0.019598845
94.30081301,-0.016747689
94.24390244,-0.001351448
94.18699187,-0.001351448
94.1300813,-0.001921679
94.07317073,-0.001921679
94.01626016,0.005491326
93.95934959,0.005491326
93.90243902,-0.003062141
93.84552846,-0.019598845
93.78861789,-0.023020232
93.73170732,-0.058944794
93.67479675,-0.058944794
93.61788618,-0.055523407
93.56097561,-0.047540171
93.50406504,-0.047540171
93.44715447,-0.047540171
93.3902439,-0.04183786
93.33333333,-0.04183786
93.27642276,-0.037846242
93.2195122,-0.031573699
93.16260163,-0.037846242
93.10569106,-0.049821096
93.04878049,-0.053242483
92.99186992,-0.053242483
92.93495935,-0.049250865
92.87804878,-0.049250865
92.82113821,-0.049821096
92.76422764,-0.049821096
92.70731707,-0.049821096
92.6504065,-0.038986704
92.59349593,-0.034424855
92.53658537,-0.014466764
92.4796748,-0.014466764
92.42276423,-0.019028614
92.36585366,-0.019028614
92.30894309,-0.013326302
92.25203252,0.003780633
92.19512195,0.003780633
92.13821138,0.008342482
92.08130081,0.000929477
92.02439024,0.000929477
91.96747967,-0.005343066
91.91056911,-0.005343066
91.85365854,0.028870803
91.79674797,0.028870803
91.7398374,0.032862421
91.68292683,0.040275426
91.62601626,0.007772251
91.56910569,0.007772251
91.51219512,0.026589879
91.45528455,0.035143346
91.39837398,0.035143346
91.34146341,0.02716011
91.28455285,0.019176874
91.22764228,0.019176874
91.17073171,0.034573115
91.11382114,0.036854039
91.05691057,0.04198612
91,0.04198612
90.94308943,0.031151728
90.88617886,0.040275426
90.82926829,0.052820512
90.77235772,0.053390743
90.71544715,0.063084672
90.65853659,0.074489295
90.60162602,0.074489295
90.54471545,0.074489295
90.48780488,0.007772251
90.43089431,0.007772251
90.37398374,0.028300572
90.31707317,0.033432652
90.2601626,0.059093054
90.20325203,0.059093054
90.14634146,0.057952592
90.08943089,0.053390743
90.03252033,0.053390743
89.97560976,0.040275426
89.91869919,0.040275426
89.86178862,0.040275426
89.80487805,0.042556351
89.74796748,0.042556351
89.69105691,0.042556351
89.63414634,0.03742427
89.57723577,0.03229219
89.5203252,0.024879185
89.46341463,0.020317336
89.40650407,0.020887567
89.3495935,0.022028029
89.29268293,0.043696813
89.23577236,0.044837275
89.17886179,0.044837275
89.12195122,0.008912713
89.06504065,0.008912713
89.00813008,0.020317336
88.95121951,0.029441034
88.89430894,0.046547969
88.83739837,0.046547969
88.7804878,0.031721959
88.72357724,0.031721959
88.66666667,0.039705195
88.6097561,-0.003062141
88.55284553,-0.003062141
88.49593496,0.024879185
88.43902439,0.024879185
88.38211382,-0.000781217
88.32520325,-0.000781217
88.26829268,0.020317336
88.21138211,0.020317336
88.15447154,0.013474562
88.09756098,0.013474562
88.04065041,0.004921095
87.98373984,-0.000210986
87.92682927,-0.003632372
87.8699187,-0.009904915
87.81300813,-0.009904915
87.75609756,-0.005343066
87.69918699,-0.005343066
87.64227642,-0.009334684
87.58536585,-0.009334684
87.52845528,0.015185256
87.47154472,0.021457798
87.41463415,0.030581497
87.35772358,0.030581497
87.30081301,0.008342482
87.24390244,0.008342482
87.18699187,0.014615024
87.1300813,0.016895949
87.07317073,0.016895949
87.01626016,0.022598261
86.95934959,0.022598261
86.90243902,0.022598261
86.84552846,0.029441034
86.78861789,0.045407507
86.73170732,0.072208371
86.67479675,0.072208371
86.61788618,0.056241898
86.56097561,0.054531205
86.50406504,0.054531205
86.44715447,0.062514441
86.3902439,0.040845657
86.33333333,0.030011265
86.27642276,0.040845657
86.2195122,0.045977738
86.16260163,0.071067908
86.10569106,0.071067908
86.04878049,0.059663285
85.99186992,0.051109818
85.93495935,0.01746618
85.87804878,-0.058944794
85.82113821,-0.068068493
85.76422764,-0.107414442
85.70731707,-0.197510964
85.6504065,-0.286467024
85.59349593,-0.327523666
85.53658537,-0.340638983
85.4796748,-0.375993314
85.42276423,-0.410207183
85.36585366,-0.418760651
85.30894309,-0.437008047
85.25203252,-0.494031163
85.19512195,-0.514559484
85.13821138,-0.530525956
85.08130081,-0.575574217
85.02439024,-0.593251383
84.96747967,-0.626895021
84.91056911,-0.626895021
84.85365854,-0.667951664
84.79674797,-0.69076091
84.7398374,-0.70558692
84.68292683,-0.711859462
84.62601626,-0.746643563
84.56910569,-0.746643563
84.51219512,-0.746643563
84.45528455,-0.746643563
84.39837398,-0.752916105
84.34146341,-0.752916105
84.28455285,-0.752916105
84.22764228,-0.728396166
84.17073171,-0.708438076
84.11382114,-0.66624097
84.05691057,-0.64628288
84,-0.628035483
83.94308943,-0.597813232
83.88617886,-0.568161212
83.82926829,-0.551624509
83.77235772,-0.526534338
83.71544715,-0.508286941
83.65853659,-0.491750238
83.60162602,-0.415339264
83.54471545,-0.410207183
83.48780488,-0.39367048
83.43089431,-0.322391586
83.37398374,-0.318399968
83.31707317,-0.318399968
83.2601626,-0.318399968
83.20325203,-0.256815004
83.14634146,-0.245410381
83.08943089,-0.245410381
83.03252033,-0.245410381
82.97560976,-0.23514622
82.91869919,-0.23514622
82.86178862,-0.234005758
82.80487805,-0.234005758
82.74796748,-0.234005758
82.69105691,-0.241988994
82.63414634,-0.235716451
82.57723577,-0.226022521
82.5203252,-0.226022521
82.46341463,-0.227162984
82.40650407,-0.227162984
82.3495935,-0.219179748
82.29268293,-0.219179748
82.23577236,-0.227733215
82.17886179,-0.238567607
82.12195122,-0.247121074
82.06504065,-0.238567607
82.00813008,-0.248261536
81.95121951,-0.253963848
81.89430894,-0.2054942
81.83739837,-0.2054942
81.7804878,-0.187246803
81.72357724,-0.187246803
81.66666667,-0.184395647
81.6097561,-0.165578019
81.55284553,-0.147900854
81.49593496,-0.144479467
81.43902439,-0.137636693
81.38211382,-0.119389296
81.32520325,-0.119389296
81.26829268,-0.117108372
81.21138211,-0.089737276
81.15447154,-0.064076874
81.09756098,-0.064076874
81.04065041,-0.065787568
80.98373984,-0.065787568
80.92682927,-0.074341035
80.8699187,-0.074341035
80.81300813,-0.074341035
80.75609756,-0.067498261
80.69918699,-0.067498261
80.64227642,-0.06692803
80.58536585,-0.033854623
80.52845528,-0.033854623
80.47154472,-0.051531789
80.41463415,-0.049821096
80.35772358,-0.038416473
80.30081301,-0.038416473
80.24390244,-0.031003468
80.18699187,-0.033284392
80.1300813,-0.033284392
80.07317073,-0.044118784
80.01626016,-0.044118784
79.95934959,-0.034424855
79.90243902,-0.034424855
79.84552846,-0.034424855
79.78861789,-0.016747689
79.73170732,-0.042408091
79.67479675,-0.042408091
79.61788618,-0.03727601
79.56097561,-0.029292774
79.50406504,-0.031573699
79.44715447,-0.024730925
79.3902439,-0.031573699
79.33333333,-0.048110402
79.27642276,-0.048110402
79.2195122,-0.041267628
79.16260163,-0.041267628
79.10569106,-0.03214393
79.04878049,-0.03214393
78.99186992,-0.029863005
78.93495935,-0.018458382
78.87804878,-0.014466764
78.82113821,0.011193638
78.76422764,0.025449416
78.70731707,0.033432652
78.6504065,0.06707629
78.59349593,0.076199989
78.53658537,0.084183225
78.4796748,0.105281777
78.42276423,0.119537556
78.36585366,0.124099405
78.30894309,0.135504028
78.25203252,0.135504028
78.19512195,0.160023968
78.13821138,0.160023968
78.08130081,0.160023968
78.02439024,0.171998822
77.96747967,0.171998822
77.91056911,0.162304893
77.85365854,0.162304893
77.79674797,0.166296511
77.7398374,0.230732631
77.68292683,0.238715867
77.62601626,0.242137254
77.56910569,0.257533495
77.51219512,0.270648811
77.45528455,0.246128872
77.39837398,0.238145636
77.34146341,0.238145636
77.28455285,0.248409796
77.22764228,0.25012049
77.17073171,0.25012049
77.11382114,0.291177133
77.05691057,0.291177133
77,0.289466439
76.94308943,0.289466439
76.88617886,0.296309213
76.82926829,0.302011525
76.77235772,0.302011525
76.71544715,0.288896208
76.65853659,0.278632047
76.60162602,0.275210661
76.54471545,0.275210661
76.48780488,0.282053434
76.43089431,0.295168751
76.37398374,0.295168751
76.31707317,0.287755746
76.2601626,0.287755746
76.20325203,0.287755746
76.14634146,0.255822801
76.08943089,0.255822801
76.03252033,0.250690721
75.97560976,0.242707485
75.91869919,0.224460088
75.86178862,0.21533639
75.80487805,0.206782922
75.74796748,0.194808068
75.69105691,0.194808068
75.63414634,0.185114139
75.57723577,0.179411827
75.5203252,0.149189576
75.46341463,0.145768189
75.40650407,0.137784953
75.3495935,0.129231486
75.29268293,0.086464149
75.23577236,0.086464149
75.17886179,0.082472531
75.12195122,0.075629758
75.06504065,0.075629758
75.00813008,0.065935828
74.95121951,0.065935828
74.89430894,0.063084672
74.83739837,0.020887567
74.7804878,-0.000781217
74.72357724,-0.00249191
74.66666667,-0.015607227
74.6097561,-0.023020232
74.55284553,-0.010475146
74.49593496,-0.010475146
74.43902439,-0.044689015
74.38211382,-0.044689015
74.32520325,-0.033854623
74.26829268,-0.033854623
74.21138211,-0.04696994
74.15447154,-0.057234101
74.09756098,-0.04696994
74.04065041,-0.032714161
73.98373984,-0.032714161
73.92682927,-0.029292774
73.8699187,-0.029292774
73.81300813,-0.019028614
73.75609756,-0.019028614
73.69918699,0.000359246
73.64227642,0.004921095
73.58536585,0.000359246
73.52845528,-0.026441618
73.47154472,-0.034424855
73.41463415,-0.034424855
73.35772358,-0.024160694
73.30081301,0.007772251
73.24390244,0.008912713
73.18699187,0.022598261
73.1300813,0.022598261
73.07317073,0.040275426
73.01626016,0.046547969
72.95934959,0.046547969
72.90243902,0.05225028
72.84552846,0.05225028
72.78861789,0.074489295
72.73170732,0.088745074
72.67479675,0.109843627
72.61788618,0.109843627
72.56097561,0.112124551
72.50406504,0.137784953
72.44715447,0.156602581
72.3902439,0.156602581
72.33333333,0.140065878
72.27642276,0.133793335
72.2195122,0.159453737
72.16260163,0.159453737
72.10569106,0.141776571
72.04878049,0.141776571
71.99186992,0.146908652
71.93495935,0.146908652
71.87804878,0.144057496
71.82113821,0.144057496
71.76422764,0.164585817
71.70731707,0.164585817
71.6504065,0.15090027
71.59349593,0.15090027
71.53658537,0.172569053
71.4796748,0.172569053
71.42276423,0.172569053
71.36585366,0.201080611
71.30894309,0.201080611
71.25203252,0.201650842
71.19512195,0.201650842
71.13821138,0.206212691
71.08130081,0.21533639
71.02439024,0.206212691
70.96747967,0.211915003
70.91056911,0.211915003
70.85365854,0.233013555
70.79674797,0.258103726
70.7398374,0.258103726
70.68292683,0.257533495
70.62601626,0.257533495
70.56910569,0.260384651
70.51219512,0.278061816
70.45528455,0.292887826
70.39837398,0.292887826
70.34146341,0.289466439
70.28455285,0.275210661
70.22764228,0.275210661
70.17073171,0.288325977
70.11382114,0.303151987
70.05691057,0.311135223
70,0.27977251
69.94308943,0.279202279
69.88617886,0.276351123
69.82926829,0.279202279
69.77235772,0.276351123
69.71544715,0.275210661
69.65853659,0.275210661
69.60162602,0.288896208
69.54471545,0.288896208
69.48780488,0.24498841
69.43089431,0.24042656
69.37398374,0.23529448
69.31707317,0.234724249
69.2601626,0.222179164
69.20325203,0.212485234
69.14634146,0.173709516
69.08943089,0.158313275
69.03252033,0.143487265
68.97560976,0.118397094
68.91869919,0.118397094
68.86178862,0.099579466
68.80487805,0.099009235
68.74796748,0.093306923
68.69105691,0.077340451
68.63414634,0.07677022
68.57723577,0.061373979
68.5203252,0.061373979
68.46341463,0.028870803
68.40650407,0.015755487
68.3495935,0.008342482
68.29268293,0.003780633
68.23577236,-0.005343066
68.17886179,-0.013326302
68.12195122,-0.03214393
68.06504065,-0.03214393
68.00813008,-0.03214393
67.95121951,-0.036135548
67.89430894,-0.040127166
67.83739837,-0.046399709
67.7804878,-0.048110402
67.72357724,-0.056093638
67.66666667,-0.071489879
67.6097561,-0.071489879
67.55284553,-0.045259246
67.49593496,-0.041267628
67.43902439,-0.03727601
67.38211382,-0.03727601
67.32520325,-0.053812714
67.26829268,-0.055523407
67.21138211,-0.061225719
67.15447154,-0.061225719
67.09756098,-0.056093638
67.04065041,-0.056093638
66.98373984,-0.056093638
66.92682927,-0.056093638
66.8699187,-0.050391327
66.81300813,-0.050391327
66.75609756,-0.068068493
66.69918699,-0.068068493
66.64227642,-0.064647106
66.58536585,-0.064647106
66.52845528,-0.080613578
66.47154472,-0.104563286
66.41463415,-0.104563286
66.35772358,-0.097150281
